Time,Heart Rate
00:00:03,89
00:00:13,88
00:00:18,87
00:00:23,86
00:00:38,86
00:00:43,87
00:00:58,87
00:01:08,90
00:01:13,92
00:01:18,93
00:01:28,93
00:01:43,93
00:01:48,94
00:01:53,93
00:02:03,92
00:02:08,90
00:02:18,89
00:02:23,87
00:02:28,86
00:02:38,87
00:02:44,86
00:02:49,84
00:02:54,83
00:02:59,81
00:03:04,81
00:03:09,81
00:03:24,81
00:03:39,82
00:03:49,82
00:03:54,83
00:03:59,84
00:04:14,83
00:04:19,81
00:04:24,80
00:04:29,79
00:04:34,75
00:04:44,74
00:04:49,71
00:04:54,71
00:05:04,74
00:05:09,85
00:05:14,86
00:05:24,89
00:05:29,92
00:05:39,91
00:05:44,90
00:05:49,90
00:05:54,89
00:05:59,89
00:06:04,90
00:06:19,89
00:06:29,88
00:06:34,89
00:06:39,88
00:06:49,87
00:06:54,88
00:06:59,87
00:07:09,86
00:07:14,85
00:07:19,83
00:07:24,81
00:07:29,79
00:07:34,77
00:07:39,76
00:07:44,78
00:07:49,79
00:07:54,80
00:08:09,82
00:08:14,83
00:08:19,84
00:08:24,84
00:08:34,83
00:08:39,84
00:08:44,84
00:08:49,85
00:08:59,84
00:09:14,84
00:09:24,83
00:09:29,83
00:09:44,83
00:09:59,84
00:10:04,83
00:10:09,83
00:10:19,83
00:10:24,82
00:10:29,81
00:10:34,81
00:10:39,82
00:10:54,81
00:11:04,82
00:11:19,82
00:11:29,85
00:11:34,87
00:11:49,86
00:11:59,87
00:12:09,88
00:12:14,89
00:12:19,91
00:12:24,93
00:12:30,95
00:12:45,93
00:12:50,90
00:12:55,88
00:13:00,87
00:13:15,87
00:13:20,85
00:13:25,81
00:13:30,79
00:13:35,78
00:13:40,77
00:13:50,76
00:14:05,78
00:14:10,79
00:14:20,81
00:14:30,82
00:14:35,84
00:14:40,85
00:14:55,84
00:15:00,84
00:15:05,82
00:15:10,79
00:15:20,79
00:15:35,81
00:15:40,79
00:15:45,72
00:15:50,68
00:15:55,68
00:16:00,70
00:16:05,71
00:16:20,71
00:16:25,72
00:16:30,72
00:16:35,73
00:16:50,72
00:17:00,73
00:17:05,73
00:17:10,72
00:17:15,73
00:17:30,75
00:17:35,76
00:17:40,78
00:17:45,82
00:18:00,76
00:18:05,75
00:18:15,75
00:18:25,74
00:18:30,73
00:18:35,74
00:18:40,73
00:18:45,78
00:18:50,87
00:19:00,90
00:19:05,88
00:19:10,81
00:19:15,84
00:19:20,86
00:19:25,85
00:19:30,83
00:19:35,79
00:19:40,83
00:19:50,82
00:20:05,82
00:20:10,81
00:20:25,81
00:20:30,82
00:20:35,81
00:20:40,83
00:20:45,85
00:20:55,85
00:21:05,84
00:21:15,85
00:21:20,87
00:21:25,88
00:21:40,88
00:21:50,88
00:21:55,89
00:22:05,88
00:22:11,88
00:22:26,88
00:22:31,89
00:22:46,88
00:22:56,87
00:23:06,86
00:23:11,87
00:23:26,87
00:23:41,86
00:23:56,86
00:24:01,88
00:24:06,89
00:24:21,90
00:24:36,90
00:24:51,90
00:24:56,91
00:25:11,92
00:25:21,92
00:25:26,92
00:25:31,90
00:25:36,88
00:25:41,86
00:25:46,85
00:25:51,89
00:25:56,89
00:26:06,88
00:26:16,83
00:26:21,82
00:26:26,83
00:26:31,83
00:26:46,83
00:26:51,84
00:26:56,85
00:27:06,83
00:27:11,81
00:27:26,81
00:27:36,82
00:27:41,85
00:27:46,82
00:27:51,78
00:28:06,78
00:28:16,79
00:28:31,78
00:28:46,78
00:28:51,77
00:28:56,76
00:29:01,77
00:29:11,82
00:29:16,85
00:29:26,86
00:29:31,87
00:29:46,85
00:29:56,84
00:30:01,78
00:30:06,77
00:30:11,76
00:30:16,75
00:30:26,76
00:30:31,75
00:30:46,75
00:30:51,74
00:30:56,72
00:31:01,71
00:31:16,71
00:31:31,71
00:31:41,73
00:31:46,79
00:31:51,80
00:31:56,79
00:32:06,73
00:32:16,74
00:32:21,71
00:32:26,69
00:32:41,69
00:32:46,68
00:32:51,69
00:33:06,69
00:33:11,70
00:33:16,71
00:33:21,71
00:33:36,71
00:33:37,75
00:33:42,81
00:33:47,83
00:34:02,83
00:34:07,80
00:34:17,77
00:34:22,76
00:34:27,76
00:34:37,79
00:34:42,81
00:34:57,81
00:35:02,80
00:35:07,79
00:35:12,75
00:35:17,73
00:35:27,77
00:35:32,82
00:35:37,77
00:35:42,73
00:35:57,72
00:36:02,71
00:36:07,72
00:36:17,71
00:36:22,63
00:36:27,62
